año,mes,tipo_acomodacion,provincia,pais_residencia,total_pernoctaciones,total_viajeros
2018,Diciembre,apartamentos,41 Sevilla,,2.49,
2018,Enero,apartamentos,46 Valencia/València,,4.03,
2018,Febrero,apartamentos,46 Valencia/València,,3.79,
2018,Marzo,apartamentos,46 Valencia/València,,3.66,
2018,Abril,apartamentos,46 Valencia/València,,3.54,
2018,Mayo,apartamentos,46 Valencia/València,,3.77,
2018,Junio,apartamentos,46 Valencia/València,,3.85,
2018,Julio,apartamentos,46 Valencia/València,,7.85,
2018,Agosto,apartamentos,46 Valencia/València,,8.35,
2018,Septiembre,apartamentos,46 Valencia/València,,5.37,
2018,Octubre,apartamentos,46 Valencia/València,,4.0,
2018,Noviembre,apartamentos,46 Valencia/València,,3.65,
2018,Diciembre,apartamentos,46 Valencia/València,,3.56,
2019,Enero,apartamentos,"07 Balears, Illes",,9.48,
2019,Febrero,apartamentos,"07 Balears, Illes",,7.27,
2019,Marzo,apartamentos,"07 Balears, Illes",,6.09,
2019,Abril,apartamentos,"07 Balears, Illes",,5.81,
2019,Mayo,apartamentos,"07 Balears, Illes",,5.59,
2019,Junio,apartamentos,"07 Balears, Illes",,5.96,
2019,Julio,apartamentos,"07 Balears, Illes",,6.06,
2019,Agosto,apartamentos,"07 Balears, Illes",,5.96,
2019,Septiembre,apartamentos,"07 Balears, Illes",,6.13,
2019,Octubre,apartamentos,"07 Balears, Illes",,6.36,
2019,Noviembre,apartamentos,"07 Balears, Illes",,5.81,
2019,Diciembre,apartamentos,"07 Balears, Illes",,5.28,
2019,Enero,apartamentos,08 Barcelona,,7.41,
2019,Febrero,apartamentos,08 Barcelona,,6.88,
2019,Marzo,apartamentos,08 Barcelona,,5.95,
2019,Abril,apartamentos,08 Barcelona,,5.72,
2019,Mayo,apartamentos,08 Barcelona,,5.62,
2019,Junio,apartamentos,08 Barcelona,,5.24,
2019,Julio,apartamentos,08 Barcelona,,3.9,
2019,Agosto,apartamentos,08 Barcelona,,4.47,
2019,Septiembre,apartamentos,08 Barcelona,,4.97,
2019,Octubre,apartamentos,08 Barcelona,,5.65,
2019,Noviembre,apartamentos,08 Barcelona,,6.2,
2019,Diciembre,apartamentos,08 Barcelona,,6.1,
2019,Enero,apartamentos,17 Girona,,3.15,
2019,Febrero,apartamentos,17 Girona,,2.84,
2019,Marzo,apartamentos,17 Girona,,2.8,
2019,Abril,apartamentos,17 Girona,,3.18,
2019,Mayo,apartamentos,17 Girona,,4.1,
2019,Junio,apartamentos,17 Girona,,4.89,
2019,Julio,apartamentos,17 Girona,,7.41,
2019,Agosto,apartamentos,17 Girona,,7.98,
2019,Septiembre,apartamentos,17 Girona,,6.32,
2019,Octubre,apartamentos,17 Girona,,4.15,
2019,Noviembre,apartamentos,17 Girona,,2.5,
2019,Diciembre,apartamentos,17 Girona,,2.94,
2019,Enero,apartamentos,28 Madrid,,4.08,
2019,Febrero,apartamentos,28 Madrid,,3.59,
2019,Marzo,apartamentos,28 Madrid,,3.47,
2019,Abril,apartamentos,28 Madrid,,3.35,
2019,Mayo,apartamentos,28 Madrid,,3.3,
2019,Junio,apartamentos,28 Madrid,,3.19,
2019,Julio,apartamentos,28 Madrid,,3.28,
2019,Agosto,apartamentos,28 Madrid,,3.42,
2019,Septiembre,apartamentos,28 Madrid,,3.2,
2019,Octubre,apartamentos,28 Madrid,,3.19,
2019,Noviembre,apartamentos,28 Madrid,,3.3,
2019,Diciembre,apartamentos,28 Madrid,,3.42,
2019,Enero,apartamentos,29 Málaga,,5.05,
2019,Febrero,apartamentos,29 Málaga,,4.93,
2019,Marzo,apartamentos,29 Málaga,,4.89,
2019,Abril,apartamentos,29 Málaga,,4.62,
2019,Mayo,apartamentos,29 Málaga,,4.55,
2019,Junio,apartamentos,29 Málaga,,4.82,
2019,Julio,apartamentos,29 Málaga,,5.6,
2019,Agosto,apartamentos,29 Málaga,,5.43,
2019,Septiembre,apartamentos,29 Málaga,,4.97,
2019,Octubre,apartamentos,29 Málaga,,5.08,
2019,Noviembre,apartamentos,29 Málaga,,4.62,
2019,Diciembre,apartamentos,29 Málaga,,4.32,
2019,Enero,apartamentos,41 Sevilla,,2.53,
2019,Febrero,apartamentos,41 Sevilla,,2.32,
2019,Marzo,apartamentos,41 Sevilla,,2.37,
2019,Abril,apartamentos,41 Sevilla,,2.51,
2019,Mayo,apartamentos,41 Sevilla,,2.34,
2019,Junio,apartamentos,41 Sevilla,,2.35,
2019,Julio,apartamentos,41 Sevilla,,2.56,
2019,Agosto,apartamentos,41 Sevilla,,2.47,
2019,Septiembre,apartamentos,41 Sevilla,,2.35,
2019,Octubre,apartamentos,41 Sevilla,,2.34,
2019,Noviembre,apartamentos,41 Sevilla,,2.33,
2019,Diciembre,apartamentos,41 Sevilla,,2.6,
2019,Enero,apartamentos,46 Valencia/València,,3.73,
2019,Febrero,apartamentos,46 Valencia/València,,3.49,
2019,Marzo,apartamentos,46 Valencia/València,,3.72,
2019,Abril,apartamentos,46 Valencia/València,,3.28,
2019,Mayo,apartamentos,46 Valencia/València,,3.17,
2019,Junio,apartamentos,46 Valencia/València,,3.96,
2019,Julio,apartamentos,46 Valencia/València,,6.84,
2019,Agosto,apartamentos,46 Valencia/València,,6.84,
2019,Septiembre,apartamentos,46 Valencia/València,,4.41,
2019,Octubre,apartamentos,46 Valencia/València,,3.32,
2019,Noviembre,apartamentos,46 Valencia/València,,3.18,
2019,Diciembre,apartamentos,46 Valencia/València,,3.4,
2020,Enero,apartamentos,"07 Balears, Illes",,7.86,
2020,Febrero,apartamentos,"07 Balears, Illes",,6.78,
2020,Marzo,apartamentos,"07 Balears, Illes",,9.31,
2020,Abril,apartamentos,"07 Balears, Illes",,0.0,
2020,Mayo,apartamentos,"07 Balears, Illes",,,
2020,Junio,apartamentos,"07 Balears, Illes",,4.71,
2020,Julio,apartamentos,"07 Balears, Illes",,5.27,
2020,Agosto,apartamentos,"07 Balears, Illes",,5.49,
2020,Septiembre,apartamentos,"07 Balears, Illes",,5.08,
2020,Octubre,apartamentos,"07 Balears, Illes",,5.83,
2020,Noviembre,apartamentos,"07 Balears, Illes",,6.62,
2020,Diciembre,apartamentos,"07 Balears, Illes",,6.8,
2020,Enero,apartamentos,08 Barcelona,,7.78,
2020,Febrero,apartamentos,08 Barcelona,,6.18,
2020,Marzo,apartamentos,08 Barcelona,,16.07,
2020,Abril,apartamentos,08 Barcelona,,0.0,
2020,Mayo,apartamentos,08 Barcelona,,21.63,
2020,Junio,apartamentos,08 Barcelona,,4.34,
2020,Julio,apartamentos,08 Barcelona,,3.66,
2020,Agosto,apartamentos,08 Barcelona,,5.1,
2020,Septiembre,apartamentos,08 Barcelona,,7.81,
2020,Octubre,apartamentos,08 Barcelona,,12.18,
2020,Noviembre,apartamentos,08 Barcelona,,21.38,
2020,Diciembre,apartamentos,08 Barcelona,,24.61,
2020,Enero,apartamentos,17 Girona,,2.93,
2020,Febrero,apartamentos,17 Girona,,2.89,
2020,Marzo,apartamentos,17 Girona,,3.19,
2020,Abril,apartamentos,17 Girona,,0.0,
2020,Mayo,apartamentos,17 Girona,,,
2020,Junio,apartamentos,17 Girona,,2.99,
2020,Julio,apartamentos,17 Girona,,6.42,
2020,Agosto,apartamentos,17 Girona,,6.42,
2020,Septiembre,apartamentos,17 Girona,,4.9,
2020,Octubre,apartamentos,17 Girona,,3.2,
2020,Noviembre,apartamentos,17 Girona,,5.19,
2020,Diciembre,apartamentos,17 Girona,,3.03,
2020,Enero,apartamentos,28 Madrid,,3.45,
2020,Febrero,apartamentos,28 Madrid,,3.12,
2020,Marzo,apartamentos,28 Madrid,,5.88,
2020,Abril,apartamentos,28 Madrid,,0.0,
2020,Mayo,apartamentos,28 Madrid,,,
2020,Junio,apartamentos,28 Madrid,,6.4,
2020,Julio,apartamentos,28 Madrid,,5.63,
2020,Agosto,apartamentos,28 Madrid,,5.64,
2020,Septiembre,apartamentos,28 Madrid,,5.73,
2020,Octubre,apartamentos,28 Madrid,,7.54,
2020,Noviembre,apartamentos,28 Madrid,,7.73,
2020,Diciembre,apartamentos,28 Madrid,,7.74,
2020,Enero,apartamentos,29 Málaga,,5.48,
2020,Febrero,apartamentos,29 Málaga,,5.18,
2020,Marzo,apartamentos,29 Málaga,,7.5,
2020,Abril,apartamentos,29 Málaga,,0.0,
2020,Mayo,apartamentos,29 Málaga,,,
2020,Junio,apartamentos,29 Málaga,,3.38,
2020,Julio,apartamentos,29 Málaga,,4.22,
2020,Agosto,apartamentos,29 Málaga,,5.09,
2020,Septiembre,apartamentos,29 Málaga,,4.18,
2020,Octubre,apartamentos,29 Málaga,,3.7,
2020,Noviembre,apartamentos,29 Málaga,,7.07,
