city,neighborhood,criterion,total_listings,current_meeting,current_pct,below_target,avg_below_score,fixable_listings,potential_score,avg_current_min_nights,avg_current_max_nights,rank_in_city
Barcelona,La Dreta De L'Eixample,Rating ≥ 80,288,273,0.9479166666666666,15,58.0,2,0.4369444444444444,,,4
Barcelona,El Camp D'En Grassot I Gràcia Nova,Rating ≥ 80,43,42,0.9767441860465116,1,60.0,0,0.44069767441860463,,,3
Barcelona,El Raval,Rating ≥ 80,205,193,0.9414634146341463,12,70.83333333333333,6,0.411209349593496,,,17
Barcelona,El Fort Pienc,Rating ≥ 80,84,82,0.9761904761904762,2,69.0,1,0.4227380952380952,,,9
Barcelona,Vallvidrera El Tibidabo I Les Planes,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,37
Barcelona,Sants,Rating ≥ 80,45,44,0.9777777777777777,1,60.0,0,0.4411111111111111,,,2
Barcelona,Sant Antoni,Rating ≥ 80,145,138,0.9517241379310345,7,62.0,2,0.4312068965517242,,,6
Barcelona,Les Corts,Rating ≥ 80,28,27,0.9642857142857143,1,60.0,0,0.4357142857142857,,,5
Barcelona,Horta,Rating ≥ 80,10,10,1.0,0,0.0,0,0.0,,,37
Barcelona,Sant Pere Santa Caterina I La Ribera,Rating ≥ 80,176,169,0.9602272727272727,7,74.71428571428571,4,0.4063961038961039,,,20
Barcelona,El Poble Sec,Rating ≥ 80,141,137,0.9716312056737588,4,72.25,2,0.4137012411347518,,,14
Barcelona,La Vila De Gràcia,Rating ≥ 80,138,125,0.9057971014492754,13,69.23076923076923,3,0.3979375696767002,,,27
Barcelona,La Nova Esquerra De L'Eixample,Rating ≥ 80,114,104,0.9122807017543859,10,68.7,3,0.40368859649122807,,,23
Barcelona,Vilapicina I La Torre Llobeta,Rating ≥ 80,10,10,1.0,0,0.0,0,0.0,,,37
Barcelona,La Sagrada Família,Rating ≥ 80,132,122,0.9242424242424242,10,63.9,3,0.4190378787878788,,,11
Barcelona,El Putxet I El Farró,Rating ≥ 80,34,31,0.9117647058823529,3,67.33333333333333,0,0.3963725490196079,,,29
Barcelona,El Barri Gòtic,Rating ≥ 80,169,156,0.9230769230769231,13,70.6923076923077,6,0.40670118343195266,,,19
Barcelona,El Poblenou,Rating ≥ 80,62,60,0.967741935483871,2,71.0,1,0.4160483870967743,,,13
Barcelona,La Font De La Guatlla,Rating ≥ 80,14,14,1.0,0,0.0,0,0.0,,,37
Barcelona,La Vila Olímpica Del Poblenou,Rating ≥ 80,21,20,0.9523809523809523,1,50.0,0,0.45595238095238094,,,1
Barcelona,El Coll,Rating ≥ 80,9,8,0.8888888888888888,1,60.0,0,0.40555555555555556,,,21
Barcelona,El Parc I La Llacuna Del Poblenou,Rating ≥ 80,41,38,0.926829268292683,3,65.33333333333333,1,0.4171544715447155,,,12
Barcelona,La Prosperitat,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,37
Barcelona,El Clot,Rating ≥ 80,20,20,1.0,0,0.0,0,0.0,,,37
Barcelona,Les Tres Torres,Rating ≥ 80,7,7,1.0,0,0.0,0,0.0,,,37
Barcelona,Vallcarca I Els Penitents,Rating ≥ 80,22,22,1.0,0,0.0,0,0.0,,,37
Barcelona,La Salut,Rating ≥ 80,13,10,0.7692307692307693,3,68.33333333333333,1,0.36762820512820515,,,34
Barcelona,La Barceloneta,Rating ≥ 80,57,56,0.9824561403508771,1,78.0,1,0.405,,,22
Barcelona,Sarrià,Rating ≥ 80,6,6,1.0,0,0.0,0,0.0,,,37
Barcelona,Can Baró,Rating ≥ 80,7,7,1.0,0,0.0,0,0.0,,,37
Barcelona,Sant Gervasi - La Bonanova,Rating ≥ 80,10,10,1.0,0,0.0,0,0.0,,,37
Barcelona,Provençals Del Poblenou,Rating ≥ 80,14,14,1.0,0,0.0,0,0.0,,,37
Barcelona,Sants - Badal,Rating ≥ 80,20,19,0.95,1,60.0,0,0.43,,,7
Barcelona,El Carmel,Rating ≥ 80,21,18,0.8571428571428571,3,59.333333333333336,1,0.4135714285714286,,,15
Barcelona,Diagonal Mar I El Front Marítim Del Poblenou,Rating ≥ 80,24,24,1.0,0,0.0,0,0.0,,,37
Barcelona,Sant Gervasi - Galvany,Rating ≥ 80,46,43,0.9347826086956522,3,73.33333333333333,1,0.39927536231884064,,,26
Barcelona,La Bordeta,Rating ≥ 80,19,18,0.9473684210526315,1,60.0,0,0.42894736842105263,,,8
Barcelona,La Marina De Port,Rating ≥ 80,8,8,1.0,0,0.0,0,0.0,,,37
Barcelona,Pedralbes,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,37
