Provincias;País de residencia;Meses;Total
07 Balears, Illes;Suiza;Enero;299
07 Balears, Illes;Suiza;Febrero;419
07 Balears, Illes;Suiza;Marzo;..
07 Balears, Illes;Suiza;Abril;0
07 Balears, Illes;Suiza;Mayo;..
07 Balears, Illes;Suiza;Junio;..
07 Balears, Illes;Suiza;Julio;9.225
07 Balears, Illes;Suiza;Agosto;3.931
07 Balears, Illes;Suiza;Septiembre;934
07 Balears, Illes;Suiza;Octubre;559
07 Balears, Illes;Suiza;Noviembre;..
07 Balears, Illes;Suiza;Diciembre;236
07 Balears, Illes;Resto de Europa;Enero;75
07 Balears, Illes;Resto de Europa;Febrero;350
07 Balears, Illes;Resto de Europa;Marzo;130
07 Balears, Illes;Resto de Europa;Abril;0
07 Balears, Illes;Resto de Europa;Mayo;..
07 Balears, Illes;Resto de Europa;Junio;..
07 Balears, Illes;Resto de Europa;Julio;3.341
07 Balears, Illes;Resto de Europa;Agosto;2.552
07 Balears, Illes;Resto de Europa;Septiembre;3.460
07 Balears, Illes;Resto de Europa;Octubre;139
07 Balears, Illes;Resto de Europa;Noviembre;..
07 Balears, Illes;Resto de Europa;Diciembre;145
07 Balears, Illes;Estados Unidos;Enero;93
07 Balears, Illes;Estados Unidos;Febrero;620
07 Balears, Illes;Estados Unidos;Marzo;..
07 Balears, Illes;Estados Unidos;Abril;0
07 Balears, Illes;Estados Unidos;Mayo;..
07 Balears, Illes;Estados Unidos;Junio;..
07 Balears, Illes;Estados Unidos;Julio;776
07 Balears, Illes;Estados Unidos;Agosto;1.154
07 Balears, Illes;Estados Unidos;Septiembre;1.010
07 Balears, Illes;Estados Unidos;Octubre;..
07 Balears, Illes;Estados Unidos;Noviembre;..
07 Balears, Illes;Estados Unidos;Diciembre;..
07 Balears, Illes;Resto de América;Enero;956
07 Balears, Illes;Resto de América;Febrero;839
07 Balears, Illes;Resto de América;Marzo;931
07 Balears, Illes;Resto de América;Abril;0
07 Balears, Illes;Resto de América;Mayo;..
07 Balears, Illes;Resto de América;Junio;..
07 Balears, Illes;Resto de América;Julio;2.662
07 Balears, Illes;Resto de América;Agosto;4.051
07 Balears, Illes;Resto de América;Septiembre;3.013
07 Balears, Illes;Resto de América;Octubre;1.924
07 Balears, Illes;Resto de América;Noviembre;626
07 Balears, Illes;Resto de América;Diciembre;645
07 Balears, Illes;Países Africanos;Enero;48
07 Balears, Illes;Países Africanos;Febrero;148
07 Balears, Illes;Países Africanos;Marzo;..
07 Balears, Illes;Países Africanos;Abril;0
07 Balears, Illes;Países Africanos;Mayo;..
07 Balears, Illes;Países Africanos;Junio;..
07 Balears, Illes;Países Africanos;Julio;698
07 Balears, Illes;Países Africanos;Agosto;777
07 Balears, Illes;Países Africanos;Septiembre;308
07 Balears, Illes;Países Africanos;Octubre;190
07 Balears, Illes;Países Africanos;Noviembre;..
07 Balears, Illes;Países Africanos;Diciembre;..
07 Balears, Illes;Resto del mundo;Enero;388
07 Balears, Illes;Resto del mundo;Febrero;636
07 Balears, Illes;Resto del mundo;Marzo;124
07 Balears, Illes;Resto del mundo;Abril;0
07 Balears, Illes;Resto del mundo;Mayo;..
07 Balears, Illes;Resto del mundo;Junio;..
07 Balears, Illes;Resto del mundo;Julio;12.913
07 Balears, Illes;Resto del mundo;Agosto;13.151
07 Balears, Illes;Resto del mundo;Septiembre;7.008
07 Balears, Illes;Resto del mundo;Octubre;668
07 Balears, Illes;Resto del mundo;Noviembre;230
07 Balears, Illes;Resto del mundo;Diciembre;450
08 Barcelona;Total;Enero;129.858
08 Barcelona;Total;Febrero;129.127
08 Barcelona;Total;Marzo;87.101
