Provincias;País de residencia;Meses;Total
Balears, Illes;Estados Unidos;Abril;236
Balears, Illes;Estados Unidos;Mayo;1.070
Balears, Illes;Estados Unidos;Junio;1.516
Balears, Illes;Estados Unidos;Julio;1.801
Balears, Illes;Estados Unidos;Agosto;1.109
Balears, Illes;Estados Unidos;Septiembre;941
Balears, Illes;Estados Unidos;Octubre;762
Balears, Illes;Estados Unidos;Noviembre;44
Balears, Illes;Estados Unidos;Diciembre;..
Balears, Illes;Resto de América;Enero;38
Balears, Illes;Resto de América;Febrero;17
Balears, Illes;Resto de América;Marzo;130
Balears, Illes;Resto de América;Abril;137
Balears, Illes;Resto de América;Mayo;663
Balears, Illes;Resto de América;Junio;1.523
Balears, Illes;Resto de América;Julio;1.626
Balears, Illes;Resto de América;Agosto;1.570
Balears, Illes;Resto de América;Septiembre;1.961
Balears, Illes;Resto de América;Octubre;279
Balears, Illes;Resto de América;Noviembre;40
Balears, Illes;Resto de América;Diciembre;33
Balears, Illes;Países Africanos;Enero;22
Balears, Illes;Países Africanos;Febrero;27
Balears, Illes;Países Africanos;Marzo;22
Balears, Illes;Países Africanos;Abril;61
Balears, Illes;Países Africanos;Mayo;263
Balears, Illes;Países Africanos;Junio;228
Balears, Illes;Países Africanos;Julio;454
Balears, Illes;Países Africanos;Agosto;845
Balears, Illes;Países Africanos;Septiembre;438
Balears, Illes;Países Africanos;Octubre;90
Balears, Illes;Países Africanos;Noviembre;12
Balears, Illes;Países Africanos;Diciembre;12
Balears, Illes;Resto del mundo;Enero;49
Balears, Illes;Resto del mundo;Febrero;91
Balears, Illes;Resto del mundo;Marzo;193
Balears, Illes;Resto del mundo;Abril;229
Balears, Illes;Resto del mundo;Mayo;985
Balears, Illes;Resto del mundo;Junio;1.946
Balears, Illes;Resto del mundo;Julio;3.966
Balears, Illes;Resto del mundo;Agosto;4.132
Balears, Illes;Resto del mundo;Septiembre;1.989
Balears, Illes;Resto del mundo;Octubre;465
Balears, Illes;Resto del mundo;Noviembre;54
Balears, Illes;Resto del mundo;Diciembre;92
Barcelona;Total;Enero;19.651
Barcelona;Total;Febrero;19.638
Barcelona;Total;Marzo;25.514
Barcelona;Total;Abril;29.513
Barcelona;Total;Mayo;31.174
Barcelona;Total;Junio;32.747
Barcelona;Total;Julio;34.860
Barcelona;Total;Agosto;33.586
Barcelona;Total;Septiembre;34.246
Barcelona;Total;Octubre;32.887
Barcelona;Total;Noviembre;20.370
Barcelona;Total;Diciembre;22.025
Barcelona;Residentes en España;Enero;7.910
Barcelona;Residentes en España;Febrero;5.908
Barcelona;Residentes en España;Marzo;9.398
Barcelona;Residentes en España;Abril;8.046
Barcelona;Residentes en España;Mayo;8.749
Barcelona;Residentes en España;Junio;7.741
Barcelona;Residentes en España;Julio;8.110
Barcelona;Residentes en España;Agosto;7.556
Barcelona;Residentes en España;Septiembre;11.096
Barcelona;Residentes en España;Octubre;8.043
Barcelona;Residentes en España;Noviembre;6.009
Barcelona;Residentes en España;Diciembre;7.364
Barcelona;No residentes en España;Enero;11.740
Barcelona;No residentes en España;Febrero;13.730
Barcelona;No residentes en España;Marzo;16.116
Barcelona;No residentes en España;Abril;21.467
Barcelona;No residentes en España;Mayo;22.425
Barcelona;No residentes en España;Junio;25.007
Barcelona;No residentes en España;Julio;26.751
Barcelona;No residentes en España;Agosto;26.030
Barcelona;No residentes en España;Septiembre;23.149
Barcelona;No residentes en España;Octubre;24.843
Barcelona;No residentes en España;Noviembre;14.360
Barcelona;No residentes en España;Diciembre;14.661
Barcelona;Unión Europea (sin España);Enero;6.060
Barcelona;Unión Europea (sin España);Febrero;8.687
Barcelona;Unión Europea (sin España);Marzo;10.584
Barcelona;Unión Europea (sin España);Abril;15.658
Barcelona;Unión Europea (sin España);Mayo;14.715
Barcelona;Unión Europea (sin España);Junio;15.654
Barcelona;Unión Europea (sin España);Julio;16.361
Barcelona;Unión Europea (sin España);Agosto;17.783
Barcelona;Unión Europea (sin España);Septiembre;13.938
Barcelona;Unión Europea (sin España);Octubre;15.799
Barcelona;Unión Europea (sin España);Noviembre;9.149
Barcelona;Unión Europea (sin España);Diciembre;8.985
Barcelona;Alemania;Enero;625
Barcelona;Alemania;Febrero;896
Barcelona;Alemania;Marzo;1.369
Barcelona;Alemania;Abril;1.403
Barcelona;Alemania;Mayo;2.440
Barcelona;Alemania;Junio;1.423
Barcelona;Alemania;Julio;1.363
Barcelona;Alemania;Agosto;1.891
Barcelona;Alemania;Septiembre;1.755
Barcelona;Alemania;Octubre;2.172
Barcelona;Alemania;Noviembre;1.117
Barcelona;Alemania;Diciembre;813
Barcelona;Austria;Enero;80
Barcelona;Austria;Febrero;126
Barcelona;Austria;Marzo;353
Barcelona;Austria;Abril;114
Barcelona;Austria;Mayo;339
Barcelona;Austria;Junio;304
Barcelona;Austria;Julio;220
Barcelona;Austria;Agosto;171
Barcelona;Austria;Septiembre;263
Barcelona;Austria;Octubre;282
Barcelona;Austria;Noviembre;123
Barcelona;Austria;Diciembre;206
Barcelona;Bélgica;Enero;339
Barcelona;Bélgica;Febrero;264
Barcelona;Bélgica;Marzo;421
Barcelona;Bélgica;Abril;671
Barcelona;Bélgica;Mayo;324
Barcelona;Bélgica;Junio;524
Barcelona;Bélgica;Julio;672
Barcelona;Bélgica;Agosto;307
Barcelona;Bélgica;Septiembre;488
Barcelona;Bélgica;Octubre;418
Barcelona;Bélgica;Noviembre;491
Barcelona;Bélgica;Diciembre;266
Barcelona;Dinamarca;Enero;118
Barcelona;Dinamarca;Febrero;251
Barcelona;Dinamarca;Marzo;242
Barcelona;Dinamarca;Abril;498
Barcelona;Dinamarca;Mayo;426
Barcelona;Dinamarca;Junio;374
Barcelona;Dinamarca;Julio;838
Barcelona;Dinamarca;Agosto;196
Barcelona;Dinamarca;Septiembre;467
Barcelona;Dinamarca;Octubre;659
Barcelona;Dinamarca;Noviembre;196
Barcelona;Dinamarca;Diciembre;241
Barcelona;Finlandia;Enero;47
Barcelona;Finlandia;Febrero;128
Barcelona;Finlandia;Marzo;206
Barcelona;Finlandia;Abril;291
Barcelona;Finlandia;Mayo;240
Barcelona;Finlandia;Junio;293
Barcelona;Finlandia;Julio;326
Barcelona;Finlandia;Agosto;92
Barcelona;Finlandia;Septiembre;234
Barcelona;Finlandia;Octubre;337
Barcelona;Finlandia;Noviembre;106
Barcelona;Finlandia;Diciembre;125
Barcelona;Francia;Enero;1.561
Barcelona;Francia;Febrero;2.659
Barcelona;Francia;Marzo;2.266
Barcelona;Francia;Abril;5.341
Barcelona;Francia;Mayo;3.361
Barcelona;Francia;Junio;4.153
Barcelona;Francia;Julio;4.540
Barcelona;Francia;Agosto;5.375
Barcelona;Francia;Septiembre;2.750
Barcelona;Francia;Octubre;4.064
Barcelona;Francia;Noviembre;2.250
Barcelona;Francia;Diciembre;3.346
Barcelona;Grecia;Enero;23
Barcelona;Grecia;Febrero;19
Barcelona;Grecia;Marzo;79
Barcelona;Grecia;Abril;99
Barcelona;Grecia;Mayo;53
Barcelona;Grecia;Junio;78
Barcelona;Grecia;Julio;74
Barcelona;Grecia;Agosto;95
Barcelona;Grecia;Septiembre;44
Barcelona;Grecia;Octubre;104
