Provincias;País de residencia;Meses;Total
07 Balears, Illes;Reino Unido;Marzo;34
07 Balears, Illes;Reino Unido;Abril;68
07 Balears, Illes;Reino Unido;Mayo;2.663
07 Balears, Illes;Reino Unido;Junio;4.065
07 Balears, Illes;Reino Unido;Julio;24.874
07 Balears, Illes;Reino Unido;Agosto;28.550
07 Balears, Illes;Reino Unido;Septiembre;25.345
07 Balears, Illes;Reino Unido;Octubre;14.107
07 Balears, Illes;Reino Unido;Noviembre;406
07 Balears, Illes;Reino Unido;Diciembre;288
07 Balears, Illes;Rusia;Enero;..
07 Balears, Illes;Rusia;Febrero;..
07 Balears, Illes;Rusia;Marzo;14
07 Balears, Illes;Rusia;Abril;12
07 Balears, Illes;Rusia;Mayo;41
07 Balears, Illes;Rusia;Junio;27
07 Balears, Illes;Rusia;Julio;158
07 Balears, Illes;Rusia;Agosto;206
07 Balears, Illes;Rusia;Septiembre;103
07 Balears, Illes;Rusia;Octubre;205
07 Balears, Illes;Rusia;Noviembre;..
07 Balears, Illes;Rusia;Diciembre;..
07 Balears, Illes;Suiza;Enero;..
07 Balears, Illes;Suiza;Febrero;18
07 Balears, Illes;Suiza;Marzo;33
07 Balears, Illes;Suiza;Abril;209
07 Balears, Illes;Suiza;Mayo;487
07 Balears, Illes;Suiza;Junio;1.158
07 Balears, Illes;Suiza;Julio;2.580
07 Balears, Illes;Suiza;Agosto;2.406
07 Balears, Illes;Suiza;Septiembre;2.126
07 Balears, Illes;Suiza;Octubre;1.558
07 Balears, Illes;Suiza;Noviembre;72
07 Balears, Illes;Suiza;Diciembre;93
07 Balears, Illes;Resto de Europa;Enero;..
07 Balears, Illes;Resto de Europa;Febrero;34
07 Balears, Illes;Resto de Europa;Marzo;..
07 Balears, Illes;Resto de Europa;Abril;18
07 Balears, Illes;Resto de Europa;Mayo;170
07 Balears, Illes;Resto de Europa;Junio;599
07 Balears, Illes;Resto de Europa;Julio;609
07 Balears, Illes;Resto de Europa;Agosto;1.447
